source,condition,architecture,prompt_level,topic,topic_key,conversation_a,conversation_b,route_similarity,route_distance,alignment_path
SB,SB,SB,SB,Air Pollution,air pollution,2190,2998,0.31096574405418165,0.6890342559458184,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2190,3063,0.2861224259426959,0.7138775740573041,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2190,3148,0.314779060955532,0.685220939044468,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2190,3244,0.254171426237639,0.745828573762361,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2190,3255,0.30060229591798293,0.6993977040820171,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2190,3406,0.24653468942150125,0.7534653105784987,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2190,3574,0.30412650794510787,0.6958734920548921,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2190,3694,0.27586839030523114,0.7241316096947689,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2190,3797,0.28020133441599027,0.7197986655840097,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2190,3887,0.3420468512881798,0.6579531487118202,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2190,4051,0.31161438497059457,0.6883856150294054,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2190,4114,0.24968969360349258,0.7503103063965074,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2190,4382,0.251290026560107,0.748709973439893,"[[0,0],[1,1],[2,2],[3,3],[4,3],[5,4],[6,5],[7,6],[8,7],[9,8],[10,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2190,4771,0.3367348065485145,0.6632651934514855,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2190,4940,0.2934636227973274,0.7065363772026726,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2262,2293,0.3693490485373879,0.6306509514626121,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2262,2648,0.3778330657382988,0.6221669342617012,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2262,2752,0.3880072737336585,0.6119927262663415,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2262,2938,0.3086906265065096,0.6913093734934904,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2262,2998,0.3355417639425625,0.6644582360574375,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2262,3063,0.316847616198892,0.683152383801108,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2262,3148,0.3425316707727982,0.6574683292272018,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2262,3244,0.34225925444156113,0.6577407455584389,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2262,3255,0.3257062314465693,0.6742937685534307,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2262,3406,0.27563079848715233,0.7243692015128477,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2262,3574,0.39596708932376024,0.6040329106762398,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2262,3694,0.3427826373248085,0.6572173626751915,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2262,3797,0.30845886659152943,0.6915411334084706,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2262,3887,0.35111345779011904,0.648886542209881,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2262,4051,0.24982036512812955,0.7501796348718704,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2262,4114,0.29474913913939627,0.7052508608606037,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2262,4382,0.306749808732774,0.693250191267226,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2262,4771,0.3408852836941778,0.6591147163058222,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2262,4940,0.2808668466177978,0.7191331533822022,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2293,2648,0.35466177103500107,0.6453382289649989,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2293,2752,0.3858422390347026,0.6141577609652974,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2293,2938,0.3085190836030941,0.6914809163969059,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2293,2998,0.3309391524696693,0.6690608475303307,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2293,3063,0.32641891514899923,0.6735810848510008,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2293,3148,0.3353005680926845,0.6646994319073155,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2293,3244,0.3284362368056426,0.6715637631943574,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2293,3255,0.2880947199132885,0.7119052800867115,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2293,3406,0.2867951227339578,0.7132048772660422,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2293,3574,0.31626739925948755,0.6837326007405125,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2293,3694,0.3135709997048014,0.6864290002951986,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2293,3797,0.3007462628033454,0.6992537371966546,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2293,3887,0.3112657067600898,0.6887342932399102,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2293,4051,0.22937555617889227,0.7706244438211077,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2293,4114,0.3061150740132782,0.6938849259867218,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2293,4382,0.2891589735408754,0.7108410264591246,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2293,4771,0.34172067613696866,0.6582793238630313,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2293,4940,0.27797791282558526,0.7220220871744147,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
