source,condition,architecture,prompt_level,conversation_no,topic,topic_key,n_words,n_bins,n_microchunks,route_representation,n_sampled_word_occurrences,n_unique_sampled_words,sampled_unique_coverage,sampled_overlap_rate,status,topic_pool_size,nearest_sibling_no,nearest_sibling_similarity
SB,SB,SB,SB,2344,Soviet Union,soviet union,1925,8,8,landmarks,160,160,0.08311688311688312,0.0,eligible,8,2104,0.1542100985067788
SB,SB,SB,SB,2355,Social Change,social change,2072,8,8,landmarks,160,160,0.07722007722007722,0.0,eligible,17,2826,0.2627302021331974
SB,SB,SB,SB,2362,Public Education,public education,2012,8,8,landmarks,160,160,0.07952286282306163,0.0,eligible,32,3216,0.25960001058370574
SB,SB,SB,SB,2366,Music,music,1685,8,8,landmarks,160,160,0.09495548961424333,0.0,eligible,25,3036,0.25321091461633016
SB,SB,SB,SB,2376,Recycling,recycling,1509,8,8,landmarks,160,160,0.10603048376408217,0.0,eligible,35,2299,0.28656508535020786
SB,SB,SB,SB,2379,Social Change,social change,1806,8,8,landmarks,160,160,0.08859357696567,0.0,eligible,17,3429,0.2310843944176052
SB,SB,SB,SB,2380,Trial By Jury,trial by jury,1802,8,8,landmarks,160,160,0.08879023307436182,0.0,eligible,31,3113,0.3566926953271985
SB,SB,SB,SB,2383,Public Education,public education,974,8,8,landmarks,160,160,0.16427104722792607,0.0,eligible,32,3216,0.28227988460989994
SB,SB,SB,SB,2387,Music,music,1632,8,8,landmarks,160,160,0.09803921568627451,0.0,eligible,25,2543,0.30356048813617154
SB,SB,SB,SB,2395,News Media,news media,1749,8,8,landmarks,160,160,0.09148084619782733,0.0,eligible,31,4082,0.3278060410008474
SB,SB,SB,SB,2407,Public Education,public education,1801,8,8,landmarks,160,160,0.08883953359244864,0.0,eligible,32,3433,0.2362414482704105
SB,SB,SB,SB,2418,Family Finance,family finance,2004,8,8,landmarks,160,160,0.07984031936127745,0.0,eligible,28,3200,0.2262544439821912
SB,SB,SB,SB,2421,Drug Testing,drug testing,1530,8,8,landmarks,160,160,0.10457516339869281,0.0,eligible,27,2759,0.29964868109162024
SB,SB,SB,SB,2424,Taxes,taxes,1520,8,8,landmarks,160,160,0.10526315789473684,0.0,eligible,26,2915,0.32176759166283864
SB,SB,SB,SB,2431,Buying A Car,buying a car,2143,8,8,landmarks,160,160,0.07466168922071861,0.0,eligible,34,2751,0.2411516077664877
SB,SB,SB,SB,2432,Recycling,recycling,1833,8,8,landmarks,160,160,0.0872885979268958,0.0,eligible,35,3130,0.26007598458885184
SB,SB,SB,SB,2437,Drug Testing,drug testing,1859,8,8,landmarks,160,160,0.08606777837547068,0.0,eligible,27,2184,0.25931765848953403
SB,SB,SB,SB,2439,Buying A Car,buying a car,2010,8,8,landmarks,160,160,0.07960199004975124,0.0,eligible,34,2993,0.2961950578918453
SB,SB,SB,SB,2450,Weather Climate,weather climate,368,8,8,landmarks,160,160,0.43478260869565216,0.0,eligible,20,3042,0.30307061565654936
SB,SB,SB,SB,2451,Soviet Union,soviet union,1446,8,8,landmarks,160,160,0.11065006915629322,0.0,eligible,8,2104,0.25113379679912406
SB,SB,SB,SB,2457,Weather Climate,weather climate,1542,8,8,landmarks,160,160,0.10376134889753567,0.0,eligible,20,2450,0.25017351837103396
SB,SB,SB,SB,2461,Public Education,public education,1543,8,8,landmarks,160,160,0.10369410239792612,0.0,eligible,32,3246,0.28721317205953945
SB,SB,SB,SB,2467,Family Finance,family finance,1592,8,8,landmarks,160,160,0.10050251256281408,0.0,eligible,28,2515,0.27933755535912075
SB,SB,SB,SB,2479,Child Care,child care,2443,8,8,landmarks,160,160,0.06549324600900532,0.0,eligible,28,4325,0.2420135944628824
SB,SB,SB,SB,2483,News Media,news media,1999,8,8,landmarks,160,160,0.080040020010005,0.0,eligible,31,3728,0.2460976548721001
SB,SB,SB,SB,2488,Capital Punishment,capital punishment,2495,8,8,landmarks,160,160,0.06412825651302605,0.0,eligible,32,3503,0.26828745277907284
SB,SB,SB,SB,2515,Family Finance,family finance,1823,8,8,landmarks,160,160,0.0877674163466813,0.0,eligible,28,2300,0.3044769591730869
SB,SB,SB,SB,2521,Football,football,2091,8,8,landmarks,160,160,0.07651841224294596,0.0,eligible,11,3638,0.26630776540395784
SB,SB,SB,SB,2525,Crime,crime,2080,8,8,landmarks,160,160,0.07692307692307693,0.0,eligible,27,3381,0.23334977488711506
SB,SB,SB,SB,2526,Buying A Car,buying a car,1900,8,8,landmarks,160,160,0.08421052631578947,0.0,eligible,34,2071,0.28064077504492047
SB,SB,SB,SB,2537,Drug Testing,drug testing,1600,8,8,landmarks,160,160,0.1,0.0,eligible,27,4605,0.36195622802252714
SB,SB,SB,SB,2543,Music,music,1971,8,8,landmarks,160,160,0.08117706747843734,0.0,eligible,25,4312,0.31116741912046497
SB,SB,SB,SB,2546,Capital Punishment,capital punishment,1223,8,8,landmarks,160,160,0.13082583810302534,0.0,eligible,32,4341,0.3538684504169236
SB,SB,SB,SB,2548,Buying A Car,buying a car,1296,8,8,landmarks,160,160,0.12345679012345678,0.0,eligible,34,2336,0.30590552876943145
SB,SB,SB,SB,2549,Football,football,1862,8,8,landmarks,160,160,0.08592910848549946,0.0,eligible,11,3638,0.2334531935210966
SB,SB,SB,SB,2557,Recycling,recycling,1740,8,8,landmarks,160,160,0.09195402298850575,0.0,eligible,35,3515,0.24784679619029704
SB,SB,SB,SB,2566,Child Care,child care,2026,8,8,landmarks,160,160,0.07897334649555775,0.0,eligible,28,3811,0.28194225030519826
SB,SB,SB,SB,2571,Capital Punishment,capital punishment,1763,8,8,landmarks,160,160,0.09075439591605218,0.0,eligible,32,4151,0.21932282857552998
SB,SB,SB,SB,2576,Social Change,social change,1563,8,8,landmarks,160,160,0.10236724248240563,0.0,eligible,17,2819,0.26050499043215625
SB,SB,SB,SB,2579,Weather Climate,weather climate,1840,8,8,landmarks,160,160,0.08695652173913043,0.0,eligible,20,3596,0.26594710404344213
SB,SB,SB,SB,2587,News Media,news media,1192,8,8,landmarks,160,160,0.1342281879194631,0.0,eligible,31,2888,0.2796832117093532
SB,SB,SB,SB,2589,Public Education,public education,1802,8,8,landmarks,160,160,0.08879023307436182,0.0,eligible,32,2926,0.2151209083796226
SB,SB,SB,SB,2594,Recycling,recycling,2176,8,8,landmarks,160,160,0.07352941176470588,0.0,eligible,35,3515,0.30903784046540284
SB,SB,SB,SB,2599,Football,football,1374,8,8,landmarks,160,160,0.11644832605531295,0.0,eligible,11,3638,0.2472809102279201
SB,SB,SB,SB,2602,Soviet Union,soviet union,1449,8,8,landmarks,160,160,0.11042097998619738,0.0,eligible,8,2323,0.2665255858855522
SB,SB,SB,SB,2621,Football,football,2249,8,8,landmarks,160,160,0.07114273010226767,0.0,eligible,11,3638,0.24822989160136855
SB,SB,SB,SB,2622,Taxes,taxes,1688,8,8,landmarks,160,160,0.0947867298578199,0.0,eligible,26,2915,0.3180135071028559
SB,SB,SB,SB,2631,Child Care,child care,2265,8,8,landmarks,160,160,0.0706401766004415,0.0,eligible,28,4384,0.2146819868974057
SB,SB,SB,SB,2632,Public Education,public education,1274,8,8,landmarks,160,160,0.12558869701726844,0.0,eligible,32,3331,0.3032237064418172
SB,SB,SB,SB,2638,Drug Testing,drug testing,1699,8,8,landmarks,160,160,0.09417304296645085,0.0,eligible,27,2314,0.26723151948078183
SB,SB,SB,SB,2640,Trial By Jury,trial by jury,1168,8,8,landmarks,160,160,0.136986301369863,0.0,eligible,31,2962,0.25632344345341407
SB,SB,SB,SB,2648,Air Pollution,air pollution,2006,8,8,landmarks,160,160,0.07976071784646062,0.0,eligible,24,2006,0.18181035348610286
SB,SB,SB,SB,2672,Recycling,recycling,1694,8,8,landmarks,160,160,0.09445100354191263,0.0,eligible,35,3515,0.36223834761132134
SB,SB,SB,SB,2675,Trial By Jury,trial by jury,1564,8,8,landmarks,160,160,0.10230179028132992,0.0,eligible,31,4370,0.2974081873122343
SB,SB,SB,SB,2676,Weather Climate,weather climate,1944,8,8,landmarks,160,160,0.0823045267489712,0.0,eligible,20,2095,0.255416372679249
SB,SB,SB,SB,2678,Music,music,963,8,8,landmarks,160,160,0.16614745586708204,0.0,eligible,25,3230,0.28639397586296245
SB,SB,SB,SB,2684,Capital Punishment,capital punishment,1593,8,8,landmarks,160,160,0.10043942247332077,0.0,eligible,32,2546,0.2703810582584779
SB,SB,SB,SB,2689,Crime,crime,1027,8,8,landmarks,160,160,0.15579357351509251,0.0,eligible,27,3143,0.30931893797707555
SB,SB,SB,SB,2702,Buying A Car,buying a car,1598,8,8,landmarks,160,160,0.10012515644555695,0.0,eligible,34,3173,0.3548073797368505
SB,SB,SB,SB,2717,Capital Punishment,capital punishment,1958,8,8,landmarks,160,160,0.08171603677221655,0.0,eligible,32,4376,0.27170300419389504
SB,SB,SB,SB,2723,Job Benefits,job benefits,2195,8,8,landmarks,160,160,0.07289293849658314,0.0,eligible,26,3830,0.24617595280650595
SB,SB,SB,SB,2733,Buying A Car,buying a car,2284,8,8,landmarks,160,160,0.07005253940455342,0.0,eligible,34,2548,0.2608075827616746
SB,SB,SB,SB,2734,Capital Punishment,capital punishment,1786,8,8,landmarks,160,160,0.08958566629339305,0.0,eligible,32,4856,0.25817960094704895
SB,SB,SB,SB,2736,Buying A Car,buying a car,1972,8,8,landmarks,160,160,0.08113590263691683,0.0,eligible,34,3411,0.2682060257148705
SB,SB,SB,SB,2744,Public Education,public education,2061,8,8,landmarks,160,160,0.07763221737020863,0.0,eligible,32,3246,0.26620908351402706
SB,SB,SB,SB,2749,Trial By Jury,trial by jury,1460,8,8,landmarks,160,160,0.1095890410958904,0.0,eligible,31,2962,0.3289821105295033
SB,SB,SB,SB,2751,Buying A Car,buying a car,1099,8,8,landmarks,160,160,0.14558689717925385,0.0,eligible,34,2071,0.34971188744211323
SB,SB,SB,SB,2752,Air Pollution,air pollution,2312,8,8,landmarks,160,160,0.06920415224913495,0.0,eligible,24,2293,0.22287770747335045
SB,SB,SB,SB,2754,Capital Punishment,capital punishment,1922,8,8,landmarks,160,160,0.08324661810613944,0.0,eligible,32,4801,0.26155782549165196
SB,SB,SB,SB,2755,Child Care,child care,1418,8,8,landmarks,160,160,0.11283497884344147,0.0,eligible,28,3099,0.24905699941703152
SB,SB,SB,SB,2759,Drug Testing,drug testing,1272,8,8,landmarks,160,160,0.12578616352201258,0.0,eligible,27,2314,0.3296286948474274
SB,SB,SB,SB,2768,Care Of The Elderly,care of the elderly,1992,8,8,landmarks,160,160,0.08032128514056225,0.0,eligible,28,2005,0.26642395651382367
SB,SB,SB,SB,2772,Weather Climate,weather climate,1858,8,8,landmarks,160,160,0.0861141011840689,0.0,eligible,20,2927,0.3420683463309101
SB,SB,SB,SB,2782,Family Finance,family finance,1522,8,8,landmarks,160,160,0.10512483574244415,0.0,eligible,28,4353,0.2783595312586177
SB,SB,SB,SB,2784,Taxes,taxes,1992,8,8,landmarks,160,160,0.08032128514056225,0.0,eligible,26,3040,0.27735904640083997
SB,SB,SB,SB,2788,Child Care,child care,2302,8,8,landmarks,160,160,0.06950477845351868,0.0,eligible,28,3009,0.23478854056886977
SB,SB,SB,SB,2797,Public Education,public education,1938,8,8,landmarks,160,160,0.0825593395252838,0.0,eligible,32,3841,0.26220418721375083
SB,SB,SB,SB,2818,Child Care,child care,1735,8,8,landmarks,160,160,0.09221902017291066,0.0,eligible,28,2566,0.24997520925954486
SB,SB,SB,SB,2819,Social Change,social change,1176,8,8,landmarks,160,160,0.1360544217687075,0.0,eligible,17,3454,0.2692857006150726
SB,SB,SB,SB,2820,Drug Testing,drug testing,1577,8,8,landmarks,160,160,0.10145846544071022,0.0,eligible,27,2759,0.30565030441151664
SB,SB,SB,SB,2826,Social Change,social change,1715,8,8,landmarks,160,160,0.09329446064139942,0.0,eligible,17,2355,0.2627302021331974
SB,SB,SB,SB,2828,Public Education,public education,1567,8,8,landmarks,160,160,0.1021059349074665,0.0,eligible,32,2461,0.2713429730675625
SB,SB,SB,SB,2835,Social Change,social change,1576,8,8,landmarks,160,160,0.10152284263959391,0.0,eligible,17,4659,0.18933631877949686
SB,SB,SB,SB,2836,Crime,crime,1896,8,8,landmarks,160,160,0.08438818565400844,0.0,eligible,27,4340,0.2603410084671587
SB,SB,SB,SB,2839,Taxes,taxes,2162,8,8,landmarks,160,160,0.07400555041628122,0.0,eligible,26,2622,0.3136433859884644
SB,SB,SB,SB,2840,Public Education,public education,1719,8,8,landmarks,160,160,0.09307737056428156,0.0,eligible,32,3841,0.28486767125494894
SB,SB,SB,SB,2844,Crime,crime,1527,8,8,landmarks,160,160,0.10478061558611657,0.0,eligible,27,4023,0.25506603919614945
SB,SB,SB,SB,2854,Child Care,child care,2257,8,8,landmarks,160,160,0.07089056269384138,0.0,eligible,28,3655,0.29298683634764777
SB,SB,SB,SB,2866,News Media,news media,1824,8,8,landmarks,160,160,0.08771929824561403,0.0,eligible,31,3267,0.2783810940558218
SB,SB,SB,SB,2875,Buying A Car,buying a car,2493,8,8,landmarks,160,160,0.06417970316887285,0.0,eligible,34,3550,0.2721738185566662
SB,SB,SB,SB,2876,Recycling,recycling,1065,8,8,landmarks,160,160,0.15023474178403756,0.0,eligible,35,2299,0.3263878171728405
SB,SB,SB,SB,2879,Capital Punishment,capital punishment,2059,8,8,landmarks,160,160,0.07770762506070908,0.0,eligible,32,4037,0.21774139318047503
SB,SB,SB,SB,2884,Family Finance,family finance,2076,8,8,landmarks,160,160,0.07707129094412331,0.0,eligible,28,3200,0.3484885499369851
SB,SB,SB,SB,2887,Job Benefits,job benefits,2240,8,8,landmarks,160,160,0.07142857142857142,0.0,eligible,26,2897,0.2607739238845461
SB,SB,SB,SB,2888,News Media,news media,1653,8,8,landmarks,160,160,0.09679370840895342,0.0,eligible,31,4660,0.3396207184217235
SB,SB,SB,SB,2897,Job Benefits,job benefits,991,8,8,landmarks,160,160,0.16145307769929365,0.0,eligible,26,2887,0.2607739238845461
SB,SB,SB,SB,2910,News Media,news media,1150,8,8,landmarks,160,160,0.1391304347826087,0.0,eligible,31,3002,0.3059553308233043
SB,SB,SB,SB,2915,Taxes,taxes,801,8,8,landmarks,160,160,0.19975031210986266,0.0,eligible,26,3040,0.34088727406881536
SB,SB,SB,SB,2924,Trial By Jury,trial by jury,2312,8,8,landmarks,160,160,0.06920415224913495,0.0,eligible,31,2221,0.3041705398557222
SB,SB,SB,SB,2926,Public Education,public education,2232,8,8,landmarks,160,160,0.07168458781362007,0.0,eligible,32,2316,0.278242607741888
SB,SB,SB,SB,2927,Weather Climate,weather climate,994,8,8,landmarks,160,160,0.16096579476861167,0.0,eligible,20,2772,0.3420683463309101
SB,SB,SB,SB,2934,Weather Climate,weather climate,1500,8,8,landmarks,160,160,0.10666666666666667,0.0,eligible,20,3596,0.27132474648856375
SB,SB,SB,SB,2938,Air Pollution,air pollution,2071,8,8,landmarks,160,160,0.0772573635924674,0.0,eligible,24,3797,0.23792451132029635
SB,SB,SB,SB,2950,Weather Climate,weather climate,1718,8,8,landmarks,160,160,0.09313154831199069,0.0,eligible,20,3596,0.33384695528845165
SB,SB,SB,SB,2953,Social Change,social change,2095,8,8,landmarks,160,160,0.07637231503579953,0.0,eligible,17,4360,0.20621921864929527
SB,SB,SB,SB,2957,Social Change,social change,1268,8,8,landmarks,160,160,0.12618296529968454,0.0,eligible,17,2355,0.24743549380877794
SB,SB,SB,SB,2962,Trial By Jury,trial by jury,1674,8,8,landmarks,160,160,0.0955794504181601,0.0,eligible,31,2749,0.3289821105295033
SB,SB,SB,SB,2970,Crime,crime,2673,8,8,landmarks,160,160,0.05985783763561541,0.0,eligible,27,4608,0.219198956735431
SB,SB,SB,SB,2981,Capital Punishment,capital punishment,1040,8,8,landmarks,160,160,0.15384615384615385,0.0,eligible,32,4341,0.2933190761588014
SB,SB,SB,SB,2982,Job Benefits,job benefits,1585,8,8,landmarks,160,160,0.10094637223974763,0.0,eligible,26,4028,0.2661018646529173
SB,SB,SB,SB,2993,Buying A Car,buying a car,1240,8,8,landmarks,160,160,0.12903225806451613,0.0,eligible,34,2439,0.2961950578918453
SB,SB,SB,SB,2994,Recycling,recycling,1017,8,8,landmarks,160,160,0.15732546705998032,0.0,eligible,35,3515,0.35570443424996634
SB,SB,SB,SB,2996,Taxes,taxes,1465,8,8,landmarks,160,160,0.10921501706484642,0.0,eligible,26,3040,0.2454259116970281
SB,SB,SB,SB,2998,Air Pollution,air pollution,1410,8,8,landmarks,160,160,0.11347517730496454,0.0,eligible,24,2094,0.3321031774285431
SB,SB,SB,SB,3001,Job Benefits,job benefits,1457,8,8,landmarks,160,160,0.10981468771448182,0.0,eligible,26,4905,0.20043261394478007
SB,SB,SB,SB,3002,News Media,news media,1244,8,8,landmarks,160,160,0.12861736334405144,0.0,eligible,31,4660,0.3386197214773279
SB,SB,SB,SB,3003,Buying A Car,buying a car,1750,8,8,landmarks,160,160,0.09142857142857143,0.0,eligible,34,3265,0.245461082257461
SB,SB,SB,SB,3004,Child Care,child care,1455,8,8,landmarks,160,160,0.10996563573883161,0.0,eligible,28,3420,0.26550333144606086
SB,SB,SB,SB,3009,Child Care,child care,1313,8,8,landmarks,160,160,0.12185833968012186,0.0,eligible,28,3208,0.2594737338430566
SB,SB,SB,SB,3014,Buying A Car,buying a car,1397,8,8,landmarks,160,160,0.1145311381531854,0.0,eligible,34,3815,0.24568607086479732
SB,SB,SB,SB,3023,Crime,crime,1491,8,8,landmarks,160,160,0.10731052984574112,0.0,eligible,27,4340,0.19659392282781196
SB,SB,SB,SB,3029,Capital Punishment,capital punishment,1427,8,8,landmarks,160,160,0.11212333566923616,0.0,eligible,32,3283,0.29113379834509234
SB,SB,SB,SB,3036,Music,music,898,8,8,landmarks,160,160,0.17817371937639198,0.0,eligible,25,4312,0.35108945637045763
SB,SB,SB,SB,3040,Taxes,taxes,1117,8,8,landmarks,160,160,0.1432408236347359,0.0,eligible,26,2915,0.34088727406881536
SB,SB,SB,SB,3042,Weather Climate,weather climate,1366,8,8,landmarks,160,160,0.1171303074670571,0.0,eligible,20,2330,0.36908242728074525
SB,SB,SB,SB,3052,Care Of The Elderly,care of the elderly,1334,8,8,landmarks,160,160,0.1199400299850075,0.0,eligible,28,3310,0.2677732639650312
SB,SB,SB,SB,3057,Care Of The Elderly,care of the elderly,1618,8,8,landmarks,160,160,0.09888751545117429,0.0,eligible,28,4108,0.2343443165843756
SB,SB,SB,SB,3062,Public Education,public education,1512,8,8,landmarks,160,160,0.10582010582010581,0.0,eligible,32,3841,0.27524202332207315
SB,SB,SB,SB,3063,Air Pollution,air pollution,1195,8,8,landmarks,160,160,0.13389121338912133,0.0,eligible,24,3574,0.2360175217330427
SB,SB,SB,SB,3071,Music,music,1238,8,8,landmarks,160,160,0.12924071082390953,0.0,eligible,25,3962,0.2800295321104742
SB,SB,SB,SB,3074,Recycling,recycling,1742,8,8,landmarks,160,160,0.09184845005740529,0.0,eligible,35,4078,0.23218881933556923
SB,SB,SB,SB,3077,Taxes,taxes,1622,8,8,landmarks,160,160,0.09864364981504316,0.0,eligible,26,4840,0.3183918913551139
SB,SB,SB,SB,3083,Public Education,public education,1269,8,8,landmarks,160,160,0.12608353033884948,0.0,eligible,32,4784,0.24130463170667438
